found_location,n,lat,lon,status
Austin (TX),14311,30.1666085,-97.789011,ok
Outside Jurisdiction,945,,,skip_non_geographic
Travis (TX),907,30.1666085,-97.789011,ok
7201 Levander Loop in Austin (TX),514,30.2514776,-97.6894899,ok
Del Valle (TX),407,30.1776045,-97.6106312,ok
Pflugerville (TX),370,30.4516912,-97.6061005,ok
Manor (TX),268,30.350187,-97.4968015,ok
4434 Frontier Trl in Austin (TX),163,30.2314095,-97.7957635,ok
124 W Anderson Ln in Austin (TX),152,30.344704,-97.705244,ok
Leander (TX),112,30.5736134,-97.8567339,ok
12034 Research Blvd in Austin (TX),99,30.425271,-97.752875,ok
1156 W Cesar Chavez in Austin (TX),98,30.2558955,-97.7317072,ok
12034 Research in Austin (TX),96,30.425271,-97.752875,ok
1834 Ferguson in Austin (TX),90,30.345182,-97.671591,ok
1156 W Cesar Chavez St in Austin (TX),75,30.269874,-97.7596284,ok
4106 N Lamar in Austin (TX),69,30.309476,-97.740685,ok
14811 Chicadee in Pflugerville (TX),67,,,no_result
4106 N Lamar Blvd in Austin (TX),66,30.309476,-97.740685,ok
Lago Vista (TX),56,30.4601975,-97.9883477,ok
Round Rock (TX),56,30.4839802,-97.6523951,ok
Cedar Park (TX),55,30.5212069,-97.83338,ok
7619 Scenic Brook in Austin (TX),53,30.2357055,-97.8969963,ok
Hays (TX),52,29.8809946,-97.912188,ok
124 West Anderson Lane in Austin (TX),50,30.344704,-97.705244,ok
6600 Elm Creek Dr in Austin (TX),47,30.187324,-97.7636993,ok
21413 Webber Oaks Cv in Travis (TX),45,30.2449534,-97.4777688,ok
4434 Frontier Trail in Austin (TX),43,30.2314095,-97.7957635,ok
4434 Frontier in Austin (TX),41,30.2314095,-97.7957635,ok
1156 Cesar Chavez in Austin (TX),39,30.269874,-97.7596284,ok
1601 E Slaughter Ln in Austin (TX),38,30.1530963,-97.7692202,ok
12901 N Ih 35 #1100 in Austin (TX),38,,,no_result
Williamson (TX),36,30.4839802,-97.6523951,ok
1000 Ellingson in Austin (TX),36,30.3036635,-97.7190608,ok
5701 Johnny Morris Rd in Austin (TX),36,30.2918179,-97.651597,ok
12138 N Lamar Blvd in Austin (TX),34,30.3998055,-97.6832724,ok
Lakeway (TX),32,30.3644888,-97.9875325,ok
Riverside And Pleasant Valley in Austin (TX),32,30.2336763,-97.7235237,ok
5338 Thunder Creek in Austin (TX),32,30.417114,-97.747802,ok
Bastrop (TX),31,30.1040878,-97.3336841,ok
11113 Chatam Berry in Austin (TX),30,30.15873,-97.8432984,ok
1515 Wickersham Ln in Austin (TX),29,30.2350044,-97.71831,ok
5800 Techni Center Dr in Austin (TX),28,30.27902,-97.671409,ok
5200 Knight Cir in Austin (TX),28,30.306018,-97.6989594,ok
600 Barwood Park in Austin (TX),27,30.349501,-97.696669,ok
400 Grove Blvd in Austin (TX),27,30.2435245,-97.7013865,ok
5801 Ainez Dr in Austin (TX),26,30.1876968,-97.7382435,ok
1156 W. Cesar Chavez in Austin (TX),26,30.2558955,-97.7317072,ok
1300 Crossing Pl in Austin (TX),26,30.2383025,-97.7135045,ok
1203 Cometa St in Austin (TX),26,30.2789028,-97.6894454,ok
Montopolis And Riverside in Austin (TX),25,30.2250003,-97.703228,ok
923 Walter St in Austin (TX),25,30.2680135,-97.7117564,ok
2425 E Riverside Dr in Austin (TX),25,30.235703,-97.7259777,ok
9300 Northgate in Austin (TX),25,30.372392,-97.715607,ok
Unknown in Austin (TX),24,,,no_result
710 E Ben White Blvd in Austin (TX),23,30.2192565,-97.755355,ok
2504 Huntwick Dr in Austin (TX),23,30.225272,-97.727571,ok
9300 S Ih 35 Frontage Rd in Austin (TX),23,,,no_result
6900 Old Bee Caves Rd in Austin (TX),23,30.2366381,-97.8710441,ok
2100 Barton Springs Rd in Austin (TX),22,30.2679178,-97.7682227,ok
1800 E Stassney Ln in Austin (TX),22,30.1975405,-97.7607977,ok
1704 Nelms Dr in Austin (TX),22,30.192998,-97.76505,ok
5701 Johnny Morris in Austin (TX),22,30.2918179,-97.651597,ok
13021 Dessau Rd in Austin (TX),22,30.4001006,-97.6405055,ok
15008 Fm 812 in Del Valle (TX),22,,,no_result
1301 Crossing Place in Austin (TX),22,30.235892,-97.7114771,ok
2815 Hwy 71 in Austin (TX),22,30.2097023,-97.6518254,ok
7601 Daffan Ln in Austin (TX),21,30.3147835,-97.6253688,ok
6118 Fairway in Austin (TX),21,30.2292493,-97.7039056,ok
2900 Sunridge Dr in Austin (TX),21,30.2213608,-97.7270326,ok
1881 Grove Blvd in Austin (TX),21,30.228635,-97.706148,ok
9110 Fm 812 in Austin (TX),21,30.164112,-97.6921717,ok
5129 Cameron Rd in Austin (TX),20,30.3090542,-97.7092134,ok
Jonestown (TX),20,30.4954748,-97.9233468,ok
3101 Shoreline Dr in Austin (TX),20,,,no_result
124 W Anderson in Austin (TX),20,30.344704,-97.705244,ok
2104 E Anderson Ln in Austin (TX),20,30.330016,-97.6781728,ok
1511 Faro Dr in Austin (TX),20,30.2354978,-97.7133916,ok
1156 West Cesar Chavez in Austin (TX),20,30.269874,-97.7596284,ok
12508 Esplanade in Austin (TX),20,30.4153855,-97.6940372,ok
7601 Daffan Lane in Austin (TX),20,30.3147835,-97.6253688,ok
1014 Castle Rd in Travis (TX),20,30.292347,-97.838275,ok
6403 Tiner in Austin (TX),20,30.2926454,-97.6381855,ok
1200 Montopolis Dr in Austin (TX),19,30.2321169,-97.6993307,ok
1054 Springdale Rd in Austin (TX),19,30.271857,-97.693044,ok
4700 E Riverside Dr in Austin (TX),19,30.2318905,-97.7191474,ok
6118 Fairway St in Austin (TX),19,30.2292493,-97.7039056,ok
21506 Ann Showers in Travis (TX),19,30.278086,-97.477015,ok
