found_location,n
Austin (TX),14311
Outside Jurisdiction,945
Travis (TX),907
7201 Levander Loop in Austin (TX),514
Del Valle (TX),407
Pflugerville (TX),370
Manor (TX),268
4434 Frontier Trl in Austin (TX),163
124 W Anderson Ln in Austin (TX),152
Leander (TX),112
12034 Research Blvd in Austin (TX),99
1156 W Cesar Chavez in Austin (TX),98
12034 Research in Austin (TX),96
1834 Ferguson in Austin (TX),90
1156 W Cesar Chavez St in Austin (TX),75
4106 N Lamar in Austin (TX),69
14811 Chicadee in Pflugerville (TX),67
4106 N Lamar Blvd in Austin (TX),66
Lago Vista (TX),56
Round Rock (TX),56
Cedar Park (TX),55
7619 Scenic Brook in Austin (TX),53
Hays (TX),52
124 West Anderson Lane in Austin (TX),50
6600 Elm Creek Dr in Austin (TX),47
21413 Webber Oaks Cv in Travis (TX),45
4434 Frontier Trail in Austin (TX),43
4434 Frontier in Austin (TX),41
1156 Cesar Chavez in Austin (TX),39
1601 E Slaughter Ln in Austin (TX),38
12901 N Ih 35 #1100 in Austin (TX),38
Williamson (TX),36
1000 Ellingson in Austin (TX),36
5701 Johnny Morris Rd in Austin (TX),36
12138 N Lamar Blvd in Austin (TX),34
Lakeway (TX),32
Riverside And Pleasant Valley in Austin (TX),32
5338 Thunder Creek in Austin (TX),32
Bastrop (TX),31
11113 Chatam Berry in Austin (TX),30
1515 Wickersham Ln in Austin (TX),29
5800 Techni Center Dr in Austin (TX),28
5200 Knight Cir in Austin (TX),28
600 Barwood Park in Austin (TX),27
400 Grove Blvd in Austin (TX),27
5801 Ainez Dr in Austin (TX),26
1156 W. Cesar Chavez in Austin (TX),26
1300 Crossing Pl in Austin (TX),26
1203 Cometa St in Austin (TX),26
Montopolis And Riverside in Austin (TX),25
923 Walter St in Austin (TX),25
2425 E Riverside Dr in Austin (TX),25
9300 Northgate in Austin (TX),25
Unknown in Austin (TX),24
710 E Ben White Blvd in Austin (TX),23
2504 Huntwick Dr in Austin (TX),23
9300 S Ih 35 Frontage Rd in Austin (TX),23
6900 Old Bee Caves Rd in Austin (TX),23
2100 Barton Springs Rd in Austin (TX),22
1800 E Stassney Ln in Austin (TX),22
1704 Nelms Dr in Austin (TX),22
5701 Johnny Morris in Austin (TX),22
13021 Dessau Rd in Austin (TX),22
15008 Fm 812 in Del Valle (TX),22
1301 Crossing Place in Austin (TX),22
2815 Hwy 71 in Austin (TX),22
7601 Daffan Ln in Austin (TX),21
6118 Fairway in Austin (TX),21
2900 Sunridge Dr in Austin (TX),21
1881 Grove Blvd in Austin (TX),21
9110 Fm 812 in Austin (TX),21
5129 Cameron Rd in Austin (TX),20
Jonestown (TX),20
3101 Shoreline Dr in Austin (TX),20
124 W Anderson in Austin (TX),20
